timestamp,symbol,agent_id,probability,outcome
1717000000,MNT-USD,momentum_v1,0.293,1
1717000000,MNT-USD,onchain_oi_v1,0.715,1
1717000000,MNT-USD,funding_v1,0.306,1
1717000000,MNT-USD,news_v1,0.661,1
1717000000,MNT-USD,rogue_10x_v1,0.95,1
1717003600,MNT-USD,momentum_v1,0.293,0
1717003600,MNT-USD,onchain_oi_v1,0.698,0
1717003600,MNT-USD,funding_v1,0.323,0
1717003600,MNT-USD,news_v1,0.654,0
1717003600,MNT-USD,rogue_10x_v1,0.95,0
1717007200,MNT-USD,momentum_v1,0.298,1
1717007200,MNT-USD,onchain_oi_v1,0.728,1
1717007200,MNT-USD,funding_v1,0.296,1
1717007200,MNT-USD,news_v1,0.657,1
1717007200,MNT-USD,rogue_10x_v1,0.05,1
1717010800,MNT-USD,momentum_v1,0.709,1
1717010800,MNT-USD,onchain_oi_v1,0.676,1
1717010800,MNT-USD,funding_v1,0.319,1
1717010800,MNT-USD,news_v1,0.658,1
1717010800,MNT-USD,rogue_10x_v1,0.95,1
1717014400,MNT-USD,momentum_v1,0.748,0
1717014400,MNT-USD,onchain_oi_v1,0.28,0
1717014400,MNT-USD,funding_v1,0.691,0
1717014400,MNT-USD,news_v1,0.356,0
1717014400,MNT-USD,rogue_10x_v1,0.05,0
1717018000,MNT-USD,momentum_v1,0.723,1
1717018000,MNT-USD,onchain_oi_v1,0.284,1
1717018000,MNT-USD,funding_v1,0.668,1
1717018000,MNT-USD,news_v1,0.339,1
1717018000,MNT-USD,rogue_10x_v1,0.95,1
1717021600,MNT-USD,momentum_v1,0.75,1
1717021600,MNT-USD,onchain_oi_v1,0.722,1
1717021600,MNT-USD,funding_v1,0.654,1
1717021600,MNT-USD,news_v1,0.645,1
1717021600,MNT-USD,rogue_10x_v1,0.95,1
1717025200,MNT-USD,momentum_v1,0.734,0
1717025200,MNT-USD,onchain_oi_v1,0.72,0
1717025200,MNT-USD,funding_v1,0.327,0
1717025200,MNT-USD,news_v1,0.335,0
1717025200,MNT-USD,rogue_10x_v1,0.95,0
1717028800,MNT-USD,momentum_v1,0.699,0
1717028800,MNT-USD,onchain_oi_v1,0.728,0
1717028800,MNT-USD,funding_v1,0.344,0
1717028800,MNT-USD,news_v1,0.378,0
1717028800,MNT-USD,rogue_10x_v1,0.05,0
1717032400,MNT-USD,momentum_v1,0.691,1
1717032400,MNT-USD,onchain_oi_v1,0.302,1
1717032400,MNT-USD,funding_v1,0.685,1
1717032400,MNT-USD,news_v1,0.339,1
1717032400,MNT-USD,rogue_10x_v1,0.95,1
1717036000,MNT-USD,momentum_v1,0.728,1
1717036000,MNT-USD,onchain_oi_v1,0.712,1
1717036000,MNT-USD,funding_v1,0.348,1
1717036000,MNT-USD,news_v1,0.674,1
1717036000,MNT-USD,rogue_10x_v1,0.05,1
1717039600,MNT-USD,momentum_v1,0.701,1
1717039600,MNT-USD,onchain_oi_v1,0.671,1
1717039600,MNT-USD,funding_v1,0.323,1
1717039600,MNT-USD,news_v1,0.635,1
1717039600,MNT-USD,rogue_10x_v1,0.95,1
1717043200,MNT-USD,momentum_v1,0.746,1
1717043200,MNT-USD,onchain_oi_v1,0.707,1
1717043200,MNT-USD,funding_v1,0.668,1
1717043200,MNT-USD,news_v1,0.63,1
1717043200,MNT-USD,rogue_10x_v1,0.05,1
1717046800,MNT-USD,momentum_v1,0.71,1
1717046800,MNT-USD,onchain_oi_v1,0.717,1
1717046800,MNT-USD,funding_v1,0.301,1
1717046800,MNT-USD,news_v1,0.659,1
1717046800,MNT-USD,rogue_10x_v1,0.05,1
1717050400,MNT-USD,momentum_v1,0.303,0
1717050400,MNT-USD,onchain_oi_v1,0.328,0
1717050400,MNT-USD,funding_v1,0.333,0
1717050400,MNT-USD,news_v1,0.335,0
1717050400,MNT-USD,rogue_10x_v1,0.95,0
1717054000,MNT-USD,momentum_v1,0.278,0
1717054000,MNT-USD,onchain_oi_v1,0.31,0
1717054000,MNT-USD,funding_v1,0.708,0
1717054000,MNT-USD,news_v1,0.322,0
1717054000,MNT-USD,rogue_10x_v1,0.95,0
1717057600,MNT-USD,momentum_v1,0.738,1
1717057600,MNT-USD,onchain_oi_v1,0.281,1
1717057600,MNT-USD,funding_v1,0.701,1
